Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2019-12-26,"-23,573442","-46,682859",NUBLADO,12
2019-12-26,"-23,546352","-46,772262",NUBLADO,18
2019-12-25,"-23,708873","-46,501881",NUBLADO,3
2019-12-25,"-23,661762711622586","-46,852396974026746",NUBLADO,4
2019-12-22,"-23,631246","-46,756644",NUBLADO,0
2019-12-19,"-23,653778","-46,777111",NUBLADO,1
2019-12-15,"-23,547654","-46,647888",NUBLADO,11
2019-12-14,"-23,419741610261894","-46,38380622774092",NUBLADO,13
2019-12-09,"-23,27432275906369","-46,58527536103938",NUBLADO,22
2019-12-08,"-23,658771","-46,811127",BOM,0
2019-12-07,"-23,512668","-46,873662",BOM,19
2019-12-06,"-23,301715","-46,72529",NUBLADO,13
2019-12-05,"-23,617000058121306","-46,825924433560886",NUBLADO,20
2019-12-05,"-23,50233","-46,851205",NUBLADO,16
2019-12-04,"-23,715627","-47,053026",NUBLADO,13
2019-12-03,"-23,544039","-46,676661",NUBLADO,8
2019-12-02,"-23,402973","-46,417343",NUBLADO,23
2019-12-01,"-23,773372","-46,604077",NUBLADO,19
2019-11-30,"-23,464742","-46,583442",NUBLADO,0
2019-11-30,"-23,721427","-46,825058",NUBLADO,6
2019-11-29,"-23,502389","-46,583372",NUBLADO,23
2019-11-29,"-23,747285215401423","-46,44628054858175",NUBLADO,18
2019-11-26,"-23,558118","-46,615986",BOM,12
2019-11-26,"-23,490106","-46,799341",BOM,21
2019-11-22,"-23,540041","-46,954903",BOM,6
2019-11-17,"-23,454239","-46,519087",NUBLADO,12
2019-11-16,"-23,484407","-46,263194",NUBLADO,8
2019-11-09,"-23,513177","-46,876202",NUBLADO,20
2019-11-06,"-23,447031662919375","-46,45404167266641",NUBLADO,20
2019-11-05,"-23,617973958219874","-46,80006209585077",NUBLADO,6
2019-11-03,"-23,447059","-46,551651",BOM,15
2019-11-01,"-23,474566852119143","-46,523313803821516",NUBLADO,17
2019-11-01,"-23,637580465689986","-46,83220116398443",NUBLADO,16
2019-10-31,"-23,305944","-46,220311",BOM,23
2019-10-31,"-23,499346","-46,349804",NUBLADO,19
2019-10-30,"-23,41715041226951","-46,76403010179208",BOM,17
2019-10-29,"-23,80499208308091","-46,725927273329745",BOM,3
2019-10-27,"-23,55624","-46,628425",BOM,12
2019-10-25,"-23,569771","-46,605775",NUBLADO,21
2019-10-25,"-23,607241373356494","-46,94960767429305",BOM,16
2019-10-24,"-23,421464","-46,45754",NUBLADO,13
2019-10-23,"-23,5191134","-46,9287594",NUBLADO,14
2019-10-21,"-23,456575","-46,684692",NUBLADO,2
2019-10-21,"-23,573502","-46,393699",NUBLADO,0
2019-10-21,"-23,708695","-46,596504",NUBLADO,0
2019-10-20,"-23,690532","-46,780329",NUBLADO,1
2019-10-20,"-23,649912","-46,439433",NUBLADO,21
2019-10-19,"-23,508133","-46,751129",NUBLADO,8
2019-10-19,"-23,7261810688484","-46,55073412107868",NUBLADO,21
2019-10-19,"-23,5528","-46,812584",NUBLADO,18
2019-10-16,"-23,75675","-46,714087",NUBLADO,16
2019-10-14,"-23,545333","-46,580113",BOM,14
2019-10-14,"-23,567320016396604","-46,099912097114185",NUBLADO,6
2019-10-10,"-23,499293","-46,747778",NUBLADO,4
2019-10-10,"-23,545146","-46,467516",NUBLADO,19
2019-10-10,"-23,842561","-46,815848",NUBLADO,21
2019-10-07,"-23,56829","-46,792427",NUBLADO,13
2019-10-05,"-23,366394","-46,612304",BOM,17
2019-09-30,"-23,561795","-46,574256",BOM,12
2019-09-30,"-23,518403","-46,627717",BOM,14
2019-09-30,"-23,6442756947978","-46,83944560205741",NUBLADO,8
2019-09-29,"-23,644706","-46,724386",NUBLADO,4
2019-09-29,"-23,828489","-46,725414",NUBLADO,19
2019-09-29,"-23,46226209610246","-46,49143395149008",NUBLADO,5
2019-09-29,"-23,455372","-46,407952",NUBLADO,1
2019-09-29,"-23,50867465001742","-46,824310085773796",NUBLADO,7
2019-09-29,"-23,509176","-46,777656",NUBLADO,0
2019-09-29,"-23,644919","-46,718914",BOM,11
2019-09-29,"-23,52846441347526","-45,83340791556082",NUBLADO,15
2019-09-28,"-23,54272567175738","-46,96386246698371",NUBLADO,22
2019-09-28,"-23,553158","-46,821285",NUBLADO,20
2019-09-26,"-23,705595","-46,713879",NUBLADO,14
2019-09-20,"-23,661345","-46,707005",NUBLADO,23
2019-09-20,"-23,58967941090241","-46,92079618389206",BOM,17
2019-09-19,"-23,439923","-46,908097",NUBLADO,5
2019-09-18,"-23,450483","-46,327532",NUBLADO,22
2019-09-16,"-23,684679","-46,604897",BOM,9
2019-09-16,"-23,65649","-46,798659",BOM,1
2019-09-14,"-23,299054","-46,7543502",NUBLADO,6
2019-09-12,"-23,689301","-46,697504",BOM,20
2019-09-11,"-23,43235104388058","-46,56913595447968",BOM,15
2019-09-10,"-23,46379","-46,402475",BOM,20
2019-09-08,"-23,831875","-46,72299",NUBLADO,18
2019-09-08,"-23,573371","-46,495216",NUBLADO,18
2019-09-05,"-23,540841","-46,627809",NUBLADO,15
2019-09-03,"-23,532129","-46,548023",NUBLADO,13
2019-08-31,"-23,308423","-46,747724",BOM,12
2019-08-30,"-23,443394","-46,735398",BOM,23
2019-08-29,"-23,587789","-46,592488",BOM,1
2019-08-28,"-23,447031662919375","-46,45404167266641",NUBLADO,17
2019-08-25,"-23,633941","-46,458107",NUBLADO,19
2019-08-25,"-23,756022","-46,806296",NUBLADO,17
2019-08-24,"-23,499639","-46,602078",NUBLADO,9
2019-08-23,"-23,592697","-46,39678",NUBLADO,12
2019-08-18,"-23,480828","-46,708112",BOM,19
2019-08-17,"-23,665868","-46,496319",BOM,5
2019-08-17,"-23,302429","-46,566552",BOM,23
2019-08-15,"-23,451998","-46,748862",NUBLADO,8
2019-08-14,"-23,532773","-46,880635",NUBLADO,21
2019-08-11,"-23,740899","-46,70533",BOM,3
2019-08-10,"-23,604165","-46,682572",BOM,21
2019-08-10,"-23,733064","-46,713495",BOM,23
2019-08-10,"-23,697249","-46,504327",BOM,11
2019-08-10,"-23,463037","-46,414318",BOM,2
2019-08-10,"-23,29845106712068","-46,234130868433446",BOM,18
2019-08-04,"-23,606016","-46,626885",NUBLADO,1
2019-08-02,"-23,5544713","-46,7179133",NUBLADO,21
2019-07-31,"-23,725632","-46,874174",BOM,7
2019-07-30,"-23,507850089987663","-46,82182007054563",NUBLADO,18
2019-07-28,"-23,441426","-46,58826",NUBLADO,20
2019-07-27,"-23,455354","-46,694017",BOM,17
2019-07-25,"-23,576283","-46,416399",BOM,5
2019-07-21,"-23,599119","-46,796414",BOM,6
2019-07-19,"-23,47804731398101","-46,56006345778046",BOM,19
2019-07-17,"-23,661919","-46,470638",NUBLADO,7
2019-07-13,"-23,532851627492008","-46,209093473229856",BOM,22
2019-07-11,"-23,407563","-46,463899",BOM,22
2019-07-10,"-23,686459","-46,655488",NUBLADO,1
2019-07-09,"-23,638733","-46,761717",BOM,1
2019-07-07,"-23,629471","-46,638914",BOM,6
2019-07-07,"-23,672148841324915","-46,85610447419543",BOM,20
2019-07-05,"-23,554759","-46,291826",NUBLADO,23
2019-07-05,"-23,672148841324915","-46,85610447419543",NUBLADO,8
2019-06-30,"-23,685904","-46,65818",BOM,0
2019-06-29,"-23,674628","-46,560298",BOM,20
2019-06-28,"-23,603618","-46,83975",BOM,19
2019-06-27,"-23,492717562518752","-46,55916014658048",NUBLADO,15
2019-06-22,"-23,660937","-46,778152",NUBLADO,16
2019-06-22,"-23,459539","-46,711692",NUBLADO,8
2019-06-22,"-23,536359","-46,426157",NUBLADO,0
2019-06-22,"-23,706615849550747","-46,38659943183887",NUBLADO,2
2019-06-21,"-23,718612","-46,559729",NUBLADO,22
2019-06-20,"-23,729889","-46,567625",NUBLADO,15
2019-06-16,"-23,657792","-46,742071",BOM,1
2019-06-16,"-23,656881","-46,736147",NUBLADO,7
2019-06-16,"-23,636811","-46,778779",BOM,23
2019-06-16,"-23,74132534564994","-46,54133445900149",BOM,5
2019-06-16,"-23,759940104543706","-46,78124116511454",NUBLADO,12
2019-06-15,"-23,521333","-46,567384",BOM,23
2019-06-15,"-23,556555","-46,664985",NUBLADO,21
2019-06-15,"-23,406513","-46,876309",BOM,14
2019-06-14,"-23,312929","-46,582463",BOM,19
2019-06-12,"-23,42075168293984","-46,38775900293406",BOM,18
2019-06-12,"-23,308284","-46,209099",BOM,18
2019-06-11,"-23,855526777912278","-46,940293944108305",NUBLADO,5
