,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
275,6014,Rodovia Régis Bittencourt,1000,TABOAO DA SERRA,"Rodovia Régis Bittencourt, 1000, TABOAO DA SERRA","[-23.6111042802915, -46.7730299802915]"
276,6060,RUA JOSE ZAPPI,1092,SAO PAULO,"RUA JOSE ZAPPI, 1092, SAO PAULO","[-23.5745814802915, -46.5830292802915]"
277,6064,RUA AIRES MONTEIRO,162,ARUJA,"RUA AIRES MONTEIRO, 162, ARUJA","[-23.3925490802915, -46.3271683802915]"
278,6066,VIADUTO ANTONIO ADIBE CHAMAS,100,SANTO ANDRE,"VIADUTO ANTONIO ADIBE CHAMAS, 100, SANTO ANDRE","[-23.6548118802915, -46.5304636802915]"
279,6067,RUA PILAR DO SUL,248,CARAPICUIBA,"RUA PILAR DO SUL, 248, CARAPICUIBA","[-23.5298893802915, -46.8257762802915]"
280,6081,PONTE DOS REMEDIOS,1274,SAO PAULO,"PONTE DOS REMEDIOS, 1274, SAO PAULO","[-23.52170768029151, -46.7490299802915]"
281,6121,Rodovia Régis Bittencourt,10,ITAPECERICA DA SERRA,"Rodovia Régis Bittencourt, 10, ITAPECERICA DA SERRA","[-23.6844070802915, -46.8604867802915]"
282,6134,ESTRADA KIZAEMON TAKEUTI,3261,TABOAO DA SERRA,"ESTRADA KIZAEMON TAKEUTI, 3261, TABOAO DA SERRA","[-23.6439709802915, -46.80686788029149]"
283,6136,RUA CORONEL SEABRA,0,SANTO ANDRE,"RUA CORONEL SEABRA, 0, SANTO ANDRE","[-23.6695466802915, -46.5213653802915]"
284,6140,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO,"VIADUTO JULIO MESQUITA FILHO, 100, SAO PAULO","[-23.5518325802915, -46.6477800802915]"
285,6212,ACESSO AVENIDA DO ESTADO,100,SAO CAETANO DO SUL,"ACESSO AVENIDA DO ESTADO, 100, SAO CAETANO DO SUL","[-23.6016015802915, -46.57940318029149]"
286,6217,ACESSO AVENIDA ANTONIO ESTEVAO DE CARVALHO,100,SAO PAULO,"ACESSO AVENIDA ANTONIO ESTEVAO DE CARVALHO, 100, SAO PAULO","[-23.5328083802915, -46.52163328029151]"
287,6221,AVENIDA PIRES DO RIO,3122,SAO PAULO,"AVENIDA PIRES DO RIO, 3122, SAO PAULO","[-23.5254695802915, -46.4463361802915]"
288,6223,AVENIDA DO CURSINO,3023,SAO PAULO,"AVENIDA DO CURSINO, 3023, SAO PAULO","[-23.62956328029151, -46.6201951802915]"
289,6226,Rodovia Castelo Branco,0,SANTANA DE PARNAIBA,"Rodovia Castelo Branco, 0, SANTANA DE PARNAIBA","[-23.4857315802915, -46.99598168029149]"
290,6231,ESTRADA DO ELENCO,4719,GUARULHOS,"ESTRADA DO ELENCO, 4719, GUARULHOS","[-23.4046934802915, -46.4753122802915]"
291,6232,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO,"AVENIDA MARIA SERVIDEI DEMARCHE, 100, SAO BERNARDO DO CAMPO","[-23.7269727302915, -46.55450003029149]"
292,6296,ESTRADA NOSSA SENHORA DE FATIMA,201,COTIA,"ESTRADA NOSSA SENHORA DE FATIMA, 201, COTIA","[-23.6196274802915, -46.97563048029151]"
293,6300,ACESSO AVENIDA ARICANDUVA,4500,SAO PAULO,"ACESSO AVENIDA ARICANDUVA, 4500, SAO PAULO","[-23.5609337802915, -46.51492958029149]"
294,6304,ACESSO AVENIDA JOAO DIAS,66,SAO PAULO,"ACESSO AVENIDA JOAO DIAS, 66, SAO PAULO","[-23.6449320802915, -46.70340948029149]"
295,6305,RUA JORGE BERETA,2120,SANTO ANDRE,"RUA JORGE BERETA, 2120, SANTO ANDRE","[-23.6411325, -46.507839]"
296,6307,Rodovia Castelo Branco,0,BARUERI,"Rodovia Castelo Branco, 0, BARUERI","[-23.5108128802915, -46.8185928802915]"
297,6313,AVENIDA BRIGADEIRO FARIA LIMA,3515,GUARULHOS,"AVENIDA BRIGADEIRO FARIA LIMA, 3515, GUARULHOS","[-23.4266129802915, -46.5249060302915]"
298,6320,AVENIDA JOSE MARIA WHITAKER,100,SAO PAULO,"AVENIDA JOSE MARIA WHITAKER, 100, SAO PAULO","[-23.6042761802915, -46.6516134802915]"
299,6387,ACESSO A  RAPOSO TAVARES,32,COTIA,"ACESSO A  RAPOSO TAVARES, 32, COTIA","[-23.6033103802915, -46.9268880802915]"
