Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
31059,Avenida Doutora Ruth Cardoso,510.0,SAO PAULO,"Avenida Doutora Ruth Cardoso, 510, SAO PAULO","[-23.5552020802915, -46.7196846802915]"
31066,Avenida Otaviano Alves de Lima,231.0,SAO PAULO,"Avenida Otaviano Alves de Lima, 231, SAO PAULO","[-23.5084092802915, -46.69632178029149]"
31116,ACESSO AVENIDA DOM PEDRO I,625.0,OSASCO,"ACESSO AVENIDA DOM PEDRO I, 625, OSASCO","[-23.5447691802915, -46.7819354802915]"
31126,AVENIDA MORUMBI,100.0,SAO PAULO,"AVENIDA MORUMBI, 100, SAO PAULO","[-23.6200196802915, -46.70000168029151]"
31188,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,100.0,SAO PAULO,"ACESSO AVENIDA MARGINAL DO RIO PINHEIROS, 100, SAO PAULO","[-23.5721698802915, -46.70240818029151]"
31198,VIADUTO DO CHA,10.0,SAO PAULO,"VIADUTO DO CHA, 10, SAO PAULO","[-23.54852638029151, -46.6384333802915]"
31208,ESTRADA DE ITAPECERICA,0.0,SAO PAULO,"ESTRADA DE ITAPECERICA, 0, SAO PAULO","[-23.6676159802915, -46.7848145802915]"
31287,AVENIDA MOREIRA GUIMARAES,0.0,SAO PAULO,"AVENIDA MOREIRA GUIMARAES, 0, SAO PAULO","[-23.6142318802915, -46.6581309802915]"
31291,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100.0,SANTO ANDRE,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 100, SANTO ANDRE","[-23.6800646802915, -46.5068682802915]"
31303,RUA CONSOLACAO,100.0,CARAPICUIBA,"RUA CONSOLACAO, 100, CARAPICUIBA","[-23.51440893029151, -46.8357149302915]"
31306,Rodovia dos Bandeirantes,17.0,SAO PAULO,"Rodovia dos Bandeirantes, 17, SAO PAULO","[-23.4739928802915, -46.74961198029149]"
31311,AVENIDA PAPA JOAO PAULO I,1.0,GUARULHOS,"AVENIDA PAPA JOAO PAULO I, 1, GUARULHOS","[-23.4369084802915, -46.4641934802915]"
31377,RUA VOLUNTARIOS DA PATRIA,100.0,SAO PAULO,"RUA VOLUNTARIOS DA PATRIA, 100, SAO PAULO","[-23.5196212802915, -46.6296847802915]"
31392,Rodovia dos Imigrantes,20.0,DIADEMA,"Rodovia dos Imigrantes, 20, DIADEMA","[-23.6528605302915, -46.6354465302915]"
31398,RUA JAMIL JOAO ZARIFE,100.0,GUARULHOS,"RUA JAMIL JOAO ZARIFE, 100, GUARULHOS","[-23.4312851802915, -46.50284458029149]"
31406,RUA FANFULA,547.0,SAO PAULO,"RUA FANFULA, 547, SAO PAULO","[-23.6803306802915, -46.66500018029149]"
31409,RUA JOAO AMOS COMENIUS,500.0,SAO PAULO,"RUA JOAO AMOS COMENIUS, 500, SAO PAULO","[-23.7575317802915, -46.70317018029149]"
31468,AVENIDA NOVE DE JULHO,1.0,SAO PAULO,"AVENIDA NOVE DE JULHO, 1, SAO PAULO","[-23.5495324802915, -46.6401151802915]"
31479,ACESSO PARA O VIADUTO ANTONIO ADIBE CHAMAS,885.0,SANTO ANDRE,"ACESSO PARA O VIADUTO ANTONIO ADIBE CHAMAS, 885, SANTO ANDRE","[-23.6507360802915, -46.5248168802915]"
31486,AVENIDA ITAMARATI,1726.0,SANTO ANDRE,"AVENIDA ITAMARATI, 1726, SANTO ANDRE","[-23.6437322802915, -46.51176358029149]"
31540,VIADUTO CONDESSA DE SAO JOAQUIM,1.0,SAO PAULO,"VIADUTO CONDESSA DE SAO JOAQUIM, 1, SAO PAULO","[-23.5596508802915, -46.6406668]"
31550,AVENIDA BRASIL,1864.0,FERRAZ DE VASCONCELOS,"AVENIDA BRASIL, 1864, FERRAZ DE VASCONCELOS","[-23.5446681802915, -46.3723916802915]"
31610,AVENIDA ANTONIA ROSA FIORAVANTE,2544.0,MAUA,"AVENIDA ANTONIA ROSA FIORAVANTE, 2544, MAUA","[-23.6653020802915, -46.4688348802915]"
31624,Rodovia João Afonso de Souza Castellano,0.0,GUARAREMA,"Rodovia João Afonso de Souza Castellano, 0, GUARAREMA","[-23.5415486, -46.3768663]"
31669,RUA HENRI DUNANT,835.0,SAO PAULO,"RUA HENRI DUNANT, 835, SAO PAULO","[-23.6289417802915, -46.7005717802915]"
31672,AVENIDA JACUPESSEGO,100.0,SAO PAULO,"AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]"
31762,AVENIDA PIRAPORINHA,600.0,SAO BERNARDO DO CAMPO,"AVENIDA PIRAPORINHA, 600, SAO BERNARDO DO CAMPO","[-23.6905468802915, -46.5745738802915]"
31769,ESTRADA DE ITAPECERICA,100.0,SAO PAULO,"ESTRADA DE ITAPECERICA, 100, SAO PAULO","[-23.6439207802915, -46.7388384802915]"
31777,AVENIDA RAGUEB CHOHFI,4635.0,SAO PAULO,"AVENIDA RAGUEB CHOHFI, 4635, SAO PAULO","[-23.5960470802915, -46.44222158029149]"
31792,RUA MARQUES DE PARANAGUA,0.0,SAO PAULO,"RUA MARQUES DE PARANAGUA, 0, SAO PAULO","[-23.5505004802915, -46.6510796802915]"
31873,AVENIDA VINTE E TRES DE MAIO,1.0,SAO PAULO,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]"
31882,AVENIDA SAPOPEMBA,15602.0,SAO PAULO,"AVENIDA SAPOPEMBA, 15602, SAO PAULO","[-23.6260278802915, -46.4657984802915]"
31883,ESTRADA VELHA DA OLARIA,1930.0,COTIA,"ESTRADA VELHA DA OLARIA, 1930, COTIA","[-23.6256981802915, -46.93744798029149]"
31885,AVENIDA DONA BELMIRA MARIN,3358.0,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 3358, SAO PAULO","[-23.7544609802915, -46.6834800802915]"
31892,RUA DO PARAISO,100.0,SAO PAULO,"RUA DO PARAISO, 100, SAO PAULO","[-23.5743042802915, -46.64359108029149]"
31961,RUA TOCANTINS,100.0,BARUERI,"RUA TOCANTINS, 100, BARUERI","[-23.5240636802915, -46.89944158029149]"
31962,Rodovia Presidente Dutra,0.0,GUARULHOS,"Rodovia Presidente Dutra, 0, GUARULHOS","[-23.49109978029151, -46.5494592802915]"
31974,ACESSO VIADUTO NOVE DE JULHO,100.0,SAO PAULO,"ACESSO VIADUTO NOVE DE JULHO, 100, SAO PAULO","[-23.5502990802915, -46.6436663802915]"
31984,Rodovia Ayrton Senna da Silva,21.0,GUARULHOS,"Rodovia Ayrton Senna da Silva, 21, GUARULHOS","[-23.38016878029151, -46.14684718029149]"
32061,ESTRADA DE ITAPECERICA,4660.0,SAO PAULO,"ESTRADA DE ITAPECERICA, 4660, SAO PAULO","[-23.6612495802915, -46.7741900802915]"
32062,AVENIDA PACAEMBU,100.0,SAO PAULO,"AVENIDA PACAEMBU, 100, SAO PAULO","[-23.5289262802915, -46.6623618802915]"
32081,Rodovia dos Imigrantes,18.0,DIADEMA,"Rodovia dos Imigrantes, 18, DIADEMA","[-23.7144213802915, -46.6061212802915]"
32084,AVENIDA DONA RUICE FERRAZ ALVIN,100.0,DIADEMA,"AVENIDA DONA RUICE FERRAZ ALVIN, 100, DIADEMA","[-23.6875197802915, -46.6016208802915]"
32156,AVENIDA MARQUES DE SAO VICENTE,1700.0,SAO PAULO,"AVENIDA MARQUES DE SAO VICENTE, 1700, SAO PAULO","[-23.5198520802915, -46.6782738802915]"
32160,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,100.0,SANTO ANDRE,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 100, SANTO ANDRE","[-23.6800646802915, -46.5068682802915]"
32178,RUA INACIO MONTEIRO,100.0,SAO PAULO,"RUA INACIO MONTEIRO, 100, SAO PAULO","[-23.5656651802915, -46.4166633802915]"
32254,AVENIDA RAGUEB CHOHFI,100.0,SAO PAULO,"AVENIDA RAGUEB CHOHFI, 100, SAO PAULO","[-23.6126079802915, -46.47541818029149]"
32298,RUA VIGARIO ALBERNAZ,191.0,SAO PAULO,"RUA VIGARIO ALBERNAZ, 191, SAO PAULO","[-23.6057479802915, -46.62698528029149]"
32339,AVENIDA SENADOR TEOTONIO VILELA,100.0,SAO PAULO,"AVENIDA SENADOR TEOTONIO VILELA, 100, SAO PAULO","[-23.7037140802915, -46.7027279802915]"
32342,AVENIDA JOAO RAMALHO,205.0,MAUA,"AVENIDA JOAO RAMALHO, 205, MAUA","[-23.6688696802915, -46.4665917302915]"
32346,VIADUTO BRESSER,10.0,SAO PAULO,"VIADUTO BRESSER, 10, SAO PAULO","[-23.5457594802915, -46.60690058029149]"
32348,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,100.0,SAO PAULO,"AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO, 100, SAO PAULO","[-23.5881531802915, -46.5908237802915]"
32357,RUA ANTONIO MUNIZ,1951.0,GUARAREMA,"RUA ANTONIO MUNIZ, 1951, GUARAREMA","[-23.4191690802915, -46.0507082802915]"
32377,AVENIDA JOSE PINHEIRO BORGES,1.0,SAO PAULO,"AVENIDA JOSE PINHEIRO BORGES, 1, SAO PAULO","[-23.5402989802915, -46.42517098029151]"
32548,RUA CERRO CORA,0.0,SAO PAULO,"RUA CERRO CORA, 0, SAO PAULO","[-23.5370424802915, -46.7170412802915]"
