Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location,Numero_ori,Logradouro_ori,index1,Index_Bala
2664,Rodovia dos Imigrantes,12.0,SAO PAULO,,,"Rodovia dos Imigrantes, 12, SAO PAULO","[-23.6057501802915, -46.6276209802915]",12,IMIGRANTES,353745,353745IMIGRANTES12SAO PAULO
2665,ESTRADA DA RESSACA,1.0,EMBU DAS ARTES,,,"ESTRADA DA RESSACA, 1, EMBU DAS ARTES","[-23.6741339802915, -46.88459828029149]",1,ESTRADA DA RESSACA,353769,353769ESTRADA DA RESSACA1EMBU DAS ARTES
2666,RUA ORLANDO CHIODI,100.0,SAO PAULO,,,"RUA ORLANDO CHIODI, 100, SAO PAULO","[-23.60233528029151, -46.5147447802915]",100,RUA ORLANDO CHIODI,353780,353780RUA ORLANDO CHIODI100SAO PAULO
2667,TERMINAL SACOMA  RUA BOM PASTOR 3000,0.0,SAO PAULO,,,"TERMINAL SACOMA  RUA BOM PASTOR 3000, 0, SAO PAULO","[-23.6044168802915, -46.60402828029149]",nan,TERMINAL SACOMA  RUA BOM PASTOR 3000,353821,353821TERMINAL SACOMA  RUA BOM PASTOR 3000nanSAO PAULO
2668,Rodovia dos Imigrantes,1.0,SAO PAULO,,,"Rodovia dos Imigrantes, 1, SAO PAULO","[-23.6448889802915, -46.63075428029149]",1,IMIGRANTES,353843,353843IMIGRANTES1SAO PAULO
2669,RUA ALFREDO PUJOL,0.0,SAO PAULO,,,"RUA ALFREDO PUJOL, 0, SAO PAULO","[-23.5026305802915, -46.6406815802915]",nan,RUA ALFREDO PUJOL,354353,354353RUA ALFREDO PUJOLnanSAO PAULO
2670,AVENIDA BARAO DE MAUA,1891.0,MAUA,,,"AVENIDA BARAO DE MAUA, 1891, MAUA","[-23.6663449802915, -46.44606228029149]",1891,AVENIDA BARAO DE MAUA,354642,354642AVENIDA BARAO DE MAUA1891MAUA
2671,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,2245.0,SAO PAULO,,,"AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO, 2245, SAO PAULO","[-23.5838746802915, -46.5718115802915]",2245,AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO,354704,354704AVENIDA PROFESSOR LUIZ IGNACIO ANHAIA MELLO2245SAO PAULO
2672,AVENIDA ROBERT KENNEDY,4000.0,SAO PAULO,,,"AVENIDA ROBERT KENNEDY, 4000, SAO PAULO","[-23.7250247802915, -46.57605178029149]",4000,AVENIDA ROBERT KENNEDY,354820,354820AVENIDA ROBERT KENNEDY4000SAO PAULO
2673,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,1.0,GUARULHOS,,,"ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI, 1, GUARULHOS","[-23.4737422802915, -46.4246400802915]",1,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,355127,355127ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI1GUARULHOS
2674,ACESSO AVENIDA GIOVANNI GRONCHI,1.0,SAO PAULO,,,"ACESSO AVENIDA GIOVANNI GRONCHI, 1, SAO PAULO","[-23.6009218802915, -46.7226977802915]",1,ACESSO AVENIDA GIOVANNI GRONCHI,355144,355144ACESSO AVENIDA GIOVANNI GRONCHI1SAO PAULO
2675,Rodovia Régis Bittencourt,93.0,TABOAO DA SERRA,,,"Rodovia Régis Bittencourt, 93, TABOAO DA SERRA","[-23.6099561802915, -46.75540048029149]",93,SP 230,355147,355147SP 23093TABOAO DA SERRA
2676,ESTACIONAMENTO DO TERMINAL PARQUE DOM PEDRO  PARQ,10.0,SAO PAULO,,,"ESTACIONAMENTO DO TERMINAL PARQUE DOM PEDRO  PARQ, 10, SAO PAULO","[-23.5470592802915, -46.6325507802915]",10,ESTACIONAMENTO DO TERMINAL PARQUE DOM PEDRO  PARQ,355167,355167ESTACIONAMENTO DO TERMINAL PARQUE DOM PEDRO  PARQ10SAO PAULO
