,Logradouro,Numero/KM,Município,Longitude,Latitude
52240,PRESIDENTE DUTRA BR 116,223,GUARULHOS,,
52662,ACESSO AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA,21,ITAQUAQUECETUBA,,
52666,RUA MELO FREIRE,100,SAO PAULO,,
52711,AVENIDA DOUTOR HUGO BEOLCHI,567,SAO PAULO,,
52965,AVENIDA TIRADENTES,,SAO PAULO,,
53001,RUA SIMAO CAETANO NUNES,840,SAO PAULO,,
53006,ACESSO AVENIDA JACU PESSEGO,3200,SAO PAULO,,
53128,RUA ADIBE AUADA,226,COTIA,,
53504,AVENIDA MARGINAL DO RIBEIRAO,1000,CARAPICUIBA,,
53591,SP 070,1000,GUARULHOS,,
53600,RUA GARCIA DE ORTA,20,SAO PAULO,,
53615,AVENIDA DOS BANDEIRANTES,5378,SAO PAULO,,
53640,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,1321,SAO PAULO,,
53657,AVENIDA INGLATERRA,,SAO PAULO,,
54100,PARQUE DOM PEDRO II,100,SAO PAULO,,
54476,RUA BENEDITO BARBOSA,2718,SAO PAULO,,
54510,VIADUTO COMEN ELIAS NAGIB BREIM,13,SAO PAULO,,
54537,AVENIDA IMPERATRIZ LEOPOLDINA,14520,SAO PAULO,,
54793,AVENIDA ALDA,2806,DIADEMA,,
54891,AVENIDA ELISIO CORDEIRO DE SIQUEIRA,474,SAO PAULO,,
55079,RUA CRISTOVAO PEREIRA,1772,SAO PAULO,,
55121,RUA JOSE MARQUES RIBEIRO,1,CAJAMAR,,
55152,PARQUE RAPOSO TAVARES,17,SAO PAULO,,
55158,MOGIDUTRA,98,MOGI DAS CRUZES,,
55332,AVENIDA OTAVIO BRAGA DE MESQUITA,1687,GUARULHOS,,
55494,ESTRADA DE SAPOPEMBA,8,RIBEIRAO PIRES,,
55708,VIADUTO CONDESSA DE SAO JOAQUIM,100,SAO PAULO,,
56234,RUA DOUTOR PEDRO DE TOLEDO,342,GUARAREMA,,
56275,AVENIDA GUSTAVO ADOLFO,2916,SAO PAULO,,
56297,ESTRADA GUARULHOSSAO MIGUEL,2539,GUARULHOS,,
56389,AVENIDA GOVERNADOR CARVALHO PINTO,2045,SAO PAULO,,
56583,ACESSO RUA VEREADOR JOAO BATISTA FITIPALDI,123,SUZANO,,
56959,AVENIDA DONA BELMIRA MARIN,1357,SAO PAULO,,
57015,AVENIDA NORDESTINA,2904,SAO PAULO,,
57166,RUA JOAO DOMINGUES DE OLIVEIRA,193,RIBEIRAO PIRES,,
57434,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,
57485,AVENIDA CONCEICAO,100,DIADEMA,,
57529,RUA LEONILDA,396,SANTO ANDRE,,
57558,AVENIDA SAPOPEMBA,3437,SAO PAULO,,
57585,RUA ALBERTO DE OLIVEIRA,3540,ITAQUAQUECETUBA,,
57586,SP 070,13,SAO PAULO,,
57850,SP 015,480,SAO PAULO,,
57907,AVENIDA PRESIDENTE TANCREDO NEVES,,SAO PAULO,,
58064,AVENIDA BRASIL,2035,FERRAZ DE VASCONCELOS,,
58121,VIADUTO AIRTON SENNA,25,FERRAZ DE VASCONCELOS,,
58255,RUA CONSOLACAO,10,CARAPICUIBA,,
58377,AVENIDA BRIGADEIRO FARIA LIMA,10,SAO BERNARDO DO CAMPO,,
58534,SP 230,23,EMBU DAS ARTES,,
58766,ESTRADA DOS ALVARENGAS,53026,SAO BERNARDO DO CAMPO,,
58873,ESTRADA DE SANTA ISABEL,1001,ARUJA,,
